Name,SMILES
Carbromal,CCC(Br)(CC)C(=O)NC(N)=O
"2,2'-PCB",Clc1ccccc1c2ccccc2Cl
nitrofurantoin,O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2
Nitrofen,Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2
Camphor,CC1(C)C2CCC1(C)C(=O)C2
5-Allyl-5-phenylbarbital,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1
Pentyl propanoate,CCCCC(=O)OCC
Isopentyl acetate,CC(C)CCOC(=O)C
3-Hexanoyloxymethylphenyltoin,O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
"2,3',5-PCB",Clc1cccc(c1)c2cc(Cl)ccc2Cl
1-Bromopropane,CCCBr
Propiconazole,CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl
Formothion,COP(=S)(OC)SCC(=O)N(C)C=O
4-methylpteridine,Cc1ncnc2nccnc12
Thiourea,NC(=S)N
p-Xylene,Cc1ccc(C)cc1
"1,2-Diethylbenzene",CCc1ccccc1CC
Hexachloroethane,ClC(Cl)(Cl)C(Cl)(Cl)Cl
Flucythrinate,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3
1-Nitropropane,CCCN(=O)=O
Menthone,CC(C)C1CCC(C)CC1=O
RTI 24,CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23
"2,3-Dichloronitrobenzene",O=N(=O)c1c(Cl)c(Cl)ccc1
thiamylal,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O
Fluoranthene,c1ccc2c(c1)c3cccc4cccc2c34
Propylisopropylether,CCCOC(C)C
"1,3-Dimethylnaphthalene",Cc1cc(C)c2ccccc2c1
diethylstilbestrol,CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2
Chlorothalonil,c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1
"2,3',4',5-PCB",Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2
styrene oxide,C1OC1c2ccccc2
Isopropylbenzene,CC(C)c1ccccc1
